Department / Agency / Crown Corporation,Ministère/organisme/société d'État,Program name,Nom de programme,Category,Catégorie,Project name,Nom de projet,Project description,Description du projet,Recipient type,Type de destinataire,Ultimate recipient name,Nom du destinataire final,Program contribution,Estimated total project cost,Contribution du programme,Coût total estimé du projet,Funding date / estimated start date,Funding date / Date de début estimée,Province/Territory,Province/Territoire,Municipality / Community,Municipalité / Communauté,Icon,Latitude,Longitude,Additional information,informations complémentaires,
Crown-Indigenous Relations and Northern Affairs Canada ,Relations Couronne-Autochtones et Affaires du Nord Canada,First Nation Adapt,Programme d'adaptation aux changements climatiques des Premières Nations,Adaptation - Infrastructure,Adaptation - infrastructure,"Adapting the Mi'kmaq Communities of Prince Edward Island to Climate Change Through Vulnerability Assessment, Adaptation Planning and Cost-Benefit-Analysis","Adaptation des collectivités Mi'kmaq de l'Île-du-Prince-Édouard aux changements climatiques par l'entremise d'une évaluation de la vulnérabilité, de la planification de l'adaptation et d'une analyse coûts-avantages (2 communautés participantes)","A project building on past work done by Mi'kmaq Confederacy of Prince Edward Island (MCPEI), with 4 focus areas: 1. climate data synthesis and collection; 2. the creation of a climate risk prioritization framework including use of UAV (drone) technology; 3. cost-benefit analysis of adaptation options; and 4. development of emergency management plans.    *This project will impact more than one community. The total contribution funds of $183,000 received by the recipient will be allocated across  2 communities;  Abegweit (#1), Lennox Island (#2)","Un projet s’appuyant sur des travaux antérieurs menés par le Mi'kmaq Confederacy of Prince Edward Island (MCPEI), sur quatre grands thèmes : 1. synthèse et collecte de données climatiques; 2. création d’un cadre de classement des risques climatiques par priorité, y compris l’utilisation de la technologie des UAV (drones); 3. analyse coûts-avantages des options d’adaptation; et 4. élaboration de plans de gestion des urgences.    Ce projet aura un impact sur plus d'une communauté. La contribution totale (183,000 de dollars) sera répartie entre 2 communautés;  Abegweit (#1), Lennox Island (#2)",Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Mi'kmaq Confederacy of Prince Edward Island,Mi'kmaq Confederacy of Prince Edward Island,*Refer to project description,Not available,"*Vous trouverez les détails sur les contributions dans la description du projet,",Sans objet,2017-2018,2017-2018,Prince Edward Island,Île-du-Prince-Édouard,Lennox Island (#2),Lennox Island (#2),Adaptation,46.59967123,-63.85596342,"<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/eng/1481305681144/1481305709311"">Program website</a>","<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/fra/1481305681144/1481305709311"">Site web du programme</a>",
Crown-Indigenous Relations and Northern Affairs Canada ,Relations Couronne-Autochtones et Affaires du Nord Canada,First Nation Adapt,Programme d'adaptation aux changements climatiques des Premières Nations,Adaptation - Infrastructure,Adaptation - infrastructure,Alberta Regional Workshop ,Atelier régional - Alberta,"A regional workshop to discuss past projects funded by the Climate Change Adaptation Program, discuss the new First Nation Adapt program, and identify regional adaptation priorities. ","Un atelier régional pour discuter des projets antérieurs qui ont été financés par le Programme d’adaptation aux changements climatiques et du nouveau programme d'adaptation aux changements climatiques des Premières Nations, et pour cerner les priorités régionales en matière d’adaptation.",Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Development Foundation of Treaty Six Confederacy ,Development Foundation of Treaty Six Confederacy ,"$176,072",Not available,$176 072,Sans objet,2017-2018,2017-2018,Alberta,Alberta,Multiple,Multiples,Adaptation,53.549992,-113.621915,"<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/eng/1481305681144/1481305709311"">Program website</a>","<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/fra/1481305681144/1481305709311"">Site web du programme</a>",
Crown-Indigenous Relations and Northern Affairs Canada ,Relations Couronne-Autochtones et Affaires du Nord Canada,First Nation Adapt,Programme d'adaptation aux changements climatiques des Premières Nations,Adaptation - Infrastructure,Adaptation - infrastructure,Atlantic Regional Workshop,Atelier régional - Atlantique,"A regional workshop to discuss past projects funded by the Climate Change Adaptation Program, discuss the new First Nation Adapt program, and identify regional adaptation priorities. ","Un atelier régional pour discuter des projets antérieurs qui ont été financés par le Programme d’adaptation aux changements climatiques et du nouveau programme d'adaptation aux changements climatiques des Premières Nations, et pour cerner les priorités régionales en matière d’adaptation.",Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Mi’kmaq Confederacy of PEI Inc.,Mi’kmaq Confederacy of PEI Inc.,"$79,227",Not available,$79 227,Sans objet,2016-2017,2016-2017,Prince Edward Island,Île-du-Prince-Édouard,Multiple,Multiples,Adaptation,46.393963,-63.741755,"<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/eng/1481305681144/1481305709311"">Program website</a>","<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/fra/1481305681144/1481305709311"">Site web du programme</a>",
Crown-Indigenous Relations and Northern Affairs Canada ,Relations Couronne-Autochtones et Affaires du Nord Canada,First Nation Adapt,Programme d'adaptation aux changements climatiques des Premières Nations,Indigenous Peoples,Les peuples autochtones,Blackfoot Ecological Knowledge and Food Security,Connaissances écologiques et salubrité alimentaire des Pieds-Noirs ,Through this project information sessions will be held in order to increase awareness regarding climate change and its impact on food security in First Nation communities. The project is co-funded with CCHAP. FNA will fund the information session portion in addition to research administration.,"Dans le cadre de ce projet, des séances d'information se tiendront afin d'accroître la sensibilisation au changement climatique et à ses conséquences sur la sécurité en cas d'inondation dans les collectivités des Premières Nations. Le projet est cofinancé par le Programme de changement climatique et d'adaptation du secteur de la santé. FNA financera la partie des séances d'information, en plus de l'administration de la recherche. ",Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Blood Tribe / Kainai First Nation ,Tribu des Blood - Première Nation Kainai ,"$55,882.00","$55,882.00",$55 882,$55 882,2018-2019,2018-2019,Alberta,Alberta,Blood Tribe / Kainai First Nation ,Tribu des Blood - Première Nation Kainai ,Adaptation,49.461774136,-113.296657558,"<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/eng/1481305681144/1481305709311"">Program website</a>","<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/fra/1481305681144/1481305709311"">Site web du programme</a>",
Crown-Indigenous Relations and Northern Affairs Canada ,Relations Couronne-Autochtones et Affaires du Nord Canada,First Nation Adapt,Programme d'adaptation aux changements climatiques des Premières Nations,Adaptation - Infrastructure,Adaptation - infrastructure,British Columbia Coastal Vulnerability Study (CVS) - BC North Coast and Haida Gwaii,Étude de vulnérabilité sur la côte de la Colombie-Britannique (côte nord de la Colombie-Britannique) (9 communautés participantes),"A multi-year project to develop models that will help predict estimated sea level rise from climate change, accompanying storm surge, and its impacts on coastal First Nation communities in British Columbia.  *This project will impact more than one community. The total contribution funds of $562,179 received by the recipient will be allocated across  9 communities;  Gitga'at First Nation (#675), Gitxaala Nation (#672), Haisla Nation (#676), Lax Kw'alaams (#674), Metlakatla First Nation (#673), Nisga'a Village of Gingolx (#671), Nisga'a Village of Laxgalt'sap (#678), Old Massett Village Council (#669), Skidegate (#670)","Un projet pluriannuel pour élaborer des modèles qui aideront à prévoir l’élévation estimative du niveau de la mer découlant des changements climatiques, les ondes de tempêtes connexes et les répercussions sur les collectivités côtières des Premières Nations de la Colombie-Britannique.  Ce projet aura un impact sur plus d'une communauté. La contribution totale (562,179 de dollars) sera répartie entre 9 communautés;  Gitga'at First Nation (#675), Gitxaala Nation (#672), Haisla Nation (#676), Lax Kw'alaams (#674), Metlakatla First Nation (#673), Nisga'a Village of Gingolx (#671), Nisga'a Village of Laxgalt'sap (#678), Old Massett Village Council (#669), Skidegate (#670)",Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Skidegate Indian Band,Bande indienne de Skidegate,"$562,179",Not available,$562 179,Sans objet,2016-2017,2016-2017,British Columbia,Colombie-Britannique,Multiple,Multiples,Adaptation,52.881114,-127.737642,"<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/eng/1481305681144/1481305709311"">Program website</a>","<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/fra/1481305681144/1481305709311"">Site web du programme</a>",
Crown-Indigenous Relations and Northern Affairs Canada ,Relations Couronne-Autochtones et Affaires du Nord Canada,First Nation Adapt,Programme d'adaptation aux changements climatiques des Premières Nations,Adaptation - Infrastructure,Adaptation - infrastructure,British Columbia Coastal Vulnerability Study (CVS) - BC North Coast and Haida Gwaii,Étude de vulnérabilité sur la côte de la Colombie-Britannique (côte nord de la Colombie-Britannique) (9 communautés participantes),"A multi-year project to develop models that will help predict estimated sea level rise from climate change, accompanying storm surge, and its impacts on coastal First Nation communities in British Columbia.  *This project will impact more than one community. The total contribution funds of $562,179 received by the recipient will be allocated across  9 communities;  Gitga'at First Nation (#675), Gitxaala Nation (#672), Haisla Nation (#676), Lax Kw'alaams (#674), Metlakatla First Nation (#673), Nisga'a Village of Gingolx (#671), Nisga'a Village of Laxgalt'sap (#678), Old Massett Village Council (#669), Skidegate (#670)","Un projet pluriannuel pour élaborer des modèles qui aideront à prévoir l’élévation estimative du niveau de la mer découlant des changements climatiques, les ondes de tempêtes connexes et les répercussions sur les collectivités côtières des Premières Nations de la Colombie-Britannique.  Ce projet aura un impact sur plus d'une communauté. La contribution totale (562,179 de dollars) sera répartie entre 9 communautés;  Gitga'at First Nation (#675), Gitxaala Nation (#672), Haisla Nation (#676), Lax Kw'alaams (#674), Metlakatla First Nation (#673), Nisga'a Village of Gingolx (#671), Nisga'a Village of Laxgalt'sap (#678), Old Massett Village Council (#669), Skidegate (#670)",Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Skidegate Indian Band,Bande indienne de Skidegate,*Refer to project description,Not available,"*Vous trouverez les détails sur les contributions dans la description du projet,",Sans objet,2016-2017,2016-2017,British Columbia,Colombie-Britannique,Skidegate (#670),Skidegate (#670),Adaptation,53.266887,-131.989501,"<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/eng/1481305681144/1481305709311"">Program website</a>","<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/fra/1481305681144/1481305709311"">Site web du programme</a>",
Crown-Indigenous Relations and Northern Affairs Canada ,Relations Couronne-Autochtones et Affaires du Nord Canada,First Nation Adapt,Programme d'adaptation aux changements climatiques des Premières Nations,Adaptation - Infrastructure,Adaptation - infrastructure,British Columbia Coastal Vulnerability Study (CVS) - BC North Coast and Haida Gwaii,Étude de vulnérabilité sur la côte de la Colombie-Britannique (côte nord de la Colombie-Britannique) (9 communautés participantes),"A multi-year project to develop models that will help predict estimated sea level rise from climate change, accompanying storm surge, and its impacts on coastal First Nation communities in British Columbia.  *This project will impact more than one community. The total contribution funds of $562,179 received by the recipient will be allocated across  9 communities;  Gitga'at First Nation (#675), Gitxaala Nation (#672), Haisla Nation (#676), Lax Kw'alaams (#674), Metlakatla First Nation (#673), Nisga'a Village of Gingolx (#671), Nisga'a Village of Laxgalt'sap (#678), Old Massett Village Council (#669), Skidegate (#670)","Un projet pluriannuel pour élaborer des modèles qui aideront à prévoir l’élévation estimative du niveau de la mer découlant des changements climatiques, les ondes de tempêtes connexes et les répercussions sur les collectivités côtières des Premières Nations de la Colombie-Britannique.  Ce projet aura un impact sur plus d'une communauté. La contribution totale (562,179 de dollars) sera répartie entre 9 communautés;  Gitga'at First Nation (#675), Gitxaala Nation (#672), Haisla Nation (#676), Lax Kw'alaams (#674), Metlakatla First Nation (#673), Nisga'a Village of Gingolx (#671), Nisga'a Village of Laxgalt'sap (#678), Old Massett Village Council (#669), Skidegate (#670)",Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Skidegate Indian Band,Bande indienne de Skidegate,*Refer to project description,Not available,"*Vous trouverez les détails sur les contributions dans la description du projet,",Sans objet,2016-2017,2016-2017,British Columbia,Colombie-Britannique,Old Massett Village Council (#669),Old Massett Village Council (#669),Adaptation,54.0344141,-132.1750303,"<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/eng/1481305681144/1481305709311"">Program website</a>","<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/fra/1481305681144/1481305709311"">Site web du programme</a>",
Crown-Indigenous Relations and Northern Affairs Canada ,Relations Couronne-Autochtones et Affaires du Nord Canada,First Nation Adapt,Programme d'adaptation aux changements climatiques des Premières Nations,Adaptation - Infrastructure,Adaptation - infrastructure,British Columbia Coastal Vulnerability Study (CVS) - BC North Coast and Haida Gwaii,Étude de vulnérabilité sur la côte de la Colombie-Britannique (côte nord de la Colombie-Britannique) (9 communautés participantes),"A multi-year project to develop models that will help predict estimated sea level rise from climate change, accompanying storm surge, and its impacts on coastal First Nation communities in British Columbia.  *This project will impact more than one community. The total contribution funds of $562,179 received by the recipient will be allocated across  9 communities;  Gitga'at First Nation (#675), Gitxaala Nation (#672), Haisla Nation (#676), Lax Kw'alaams (#674), Metlakatla First Nation (#673), Nisga'a Village of Gingolx (#671), Nisga'a Village of Laxgalt'sap (#678), Old Massett Village Council (#669), Skidegate (#670)","Un projet pluriannuel pour élaborer des modèles qui aideront à prévoir l’élévation estimative du niveau de la mer découlant des changements climatiques, les ondes de tempêtes connexes et les répercussions sur les collectivités côtières des Premières Nations de la Colombie-Britannique.  Ce projet aura un impact sur plus d'une communauté. La contribution totale (562,179 de dollars) sera répartie entre 9 communautés;  Gitga'at First Nation (#675), Gitxaala Nation (#672), Haisla Nation (#676), Lax Kw'alaams (#674), Metlakatla First Nation (#673), Nisga'a Village of Gingolx (#671), Nisga'a Village of Laxgalt'sap (#678), Old Massett Village Council (#669), Skidegate (#670)",Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Skidegate Indian Band,Bande indienne de Skidegate,*Refer to project description,Not available,"*Vous trouverez les détails sur les contributions dans la description du projet,",Sans objet,2016-2017,2016-2017,British Columbia,Colombie-Britannique,Gitga'at First Nation (#675),Gitga'at First Nation (#675),Adaptation,53.42400519,-129.2532776,"<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/eng/1481305681144/1481305709311"">Program website</a>","<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/fra/1481305681144/1481305709311"">Site web du programme</a>",
Crown-Indigenous Relations and Northern Affairs Canada ,Relations Couronne-Autochtones et Affaires du Nord Canada,First Nation Adapt,Programme d'adaptation aux changements climatiques des Premières Nations,Adaptation - Infrastructure,Adaptation - infrastructure,British Columbia Coastal Vulnerability Study (CVS) - BC North Coast and Haida Gwaii,Étude de vulnérabilité sur la côte de la Colombie-Britannique (côte nord de la Colombie-Britannique) (9 communautés participantes),"A multi-year project to develop models that will help predict estimated sea level rise from climate change, accompanying storm surge, and its impacts on coastal First Nation communities in British Columbia.  *This project will impact more than one community. The total contribution funds of $562,179 received by the recipient will be allocated across  9 communities;  Gitga'at First Nation (#675), Gitxaala Nation (#672), Haisla Nation (#676), Lax Kw'alaams (#674), Metlakatla First Nation (#673), Nisga'a Village of Gingolx (#671), Nisga'a Village of Laxgalt'sap (#678), Old Massett Village Council (#669), Skidegate (#670)","Un projet pluriannuel pour élaborer des modèles qui aideront à prévoir l’élévation estimative du niveau de la mer découlant des changements climatiques, les ondes de tempêtes connexes et les répercussions sur les collectivités côtières des Premières Nations de la Colombie-Britannique.  Ce projet aura un impact sur plus d'une communauté. La contribution totale (562,179 de dollars) sera répartie entre 9 communautés;  Gitga'at First Nation (#675), Gitxaala Nation (#672), Haisla Nation (#676), Lax Kw'alaams (#674), Metlakatla First Nation (#673), Nisga'a Village of Gingolx (#671), Nisga'a Village of Laxgalt'sap (#678), Old Massett Village Council (#669), Skidegate (#670)",Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Skidegate Indian Band,Bande indienne de Skidegate,*Refer to project description,Not available,"*Vous trouverez les détails sur les contributions dans la description du projet,",Sans objet,2016-2017,2016-2017,British Columbia,Colombie-Britannique,Haisla Nation (#676),Haisla Nation (#676),Adaptation,53.9754754,-128.64593,"<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/eng/1481305681144/1481305709311"">Program website</a>","<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/fra/1481305681144/1481305709311"">Site web du programme</a>",
Crown-Indigenous Relations and Northern Affairs Canada ,Relations Couronne-Autochtones et Affaires du Nord Canada,First Nation Adapt,Programme d'adaptation aux changements climatiques des Premières Nations,Adaptation - Infrastructure,Adaptation - infrastructure,British Columbia Coastal Vulnerability Study (CVS) - BC North Coast and Haida Gwaii,Étude de vulnérabilité sur la côte de la Colombie-Britannique (côte nord de la Colombie-Britannique) (9 communautés participantes),"A multi-year project to develop models that will help predict estimated sea level rise from climate change, accompanying storm surge, and its impacts on coastal First Nation communities in British Columbia.  *This project will impact more than one community. The total contribution funds of $562,179 received by the recipient will be allocated across  9 communities;  Gitga'at First Nation (#675), Gitxaala Nation (#672), Haisla Nation (#676), Lax Kw'alaams (#674), Metlakatla First Nation (#673), Nisga'a Village of Gingolx (#671), Nisga'a Village of Laxgalt'sap (#678), Old Massett Village Council (#669), Skidegate (#670)","Un projet pluriannuel pour élaborer des modèles qui aideront à prévoir l’élévation estimative du niveau de la mer découlant des changements climatiques, les ondes de tempêtes connexes et les répercussions sur les collectivités côtières des Premières Nations de la Colombie-Britannique.  Ce projet aura un impact sur plus d'une communauté. La contribution totale (562,179 de dollars) sera répartie entre 9 communautés;  Gitga'at First Nation (#675), Gitxaala Nation (#672), Haisla Nation (#676), Lax Kw'alaams (#674), Metlakatla First Nation (#673), Nisga'a Village of Gingolx (#671), Nisga'a Village of Laxgalt'sap (#678), Old Massett Village Council (#669), Skidegate (#670)",Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Skidegate Indian Band,Bande indienne de Skidegate,*Refer to project description,Not available,"*Vous trouverez les détails sur les contributions dans la description du projet,",Sans objet,2016-2017,2016-2017,British Columbia,Colombie-Britannique,Nisga'a Village of Gingolx (#671),Nisga'a Village of Gingolx (#671),Adaptation,54.99441242,-129.9573334,"<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/eng/1481305681144/1481305709311"">Program website</a>","<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/fra/1481305681144/1481305709311"">Site web du programme</a>",
Crown-Indigenous Relations and Northern Affairs Canada ,Relations Couronne-Autochtones et Affaires du Nord Canada,First Nation Adapt,Programme d'adaptation aux changements climatiques des Premières Nations,Adaptation - Infrastructure,Adaptation - infrastructure,British Columbia Coastal Vulnerability Study (CVS) - BC North Coast and Haida Gwaii,Étude de vulnérabilité sur la côte de la Colombie-Britannique (côte nord de la Colombie-Britannique) (9 communautés participantes),"A multi-year project to develop models that will help predict estimated sea level rise from climate change, accompanying storm surge, and its impacts on coastal First Nation communities in British Columbia.  *This project will impact more than one community. The total contribution funds of $562,179 received by the recipient will be allocated across  9 communities;  Gitga'at First Nation (#675), Gitxaala Nation (#672), Haisla Nation (#676), Lax Kw'alaams (#674), Metlakatla First Nation (#673), Nisga'a Village of Gingolx (#671), Nisga'a Village of Laxgalt'sap (#678), Old Massett Village Council (#669), Skidegate (#670)","Un projet pluriannuel pour élaborer des modèles qui aideront à prévoir l’élévation estimative du niveau de la mer découlant des changements climatiques, les ondes de tempêtes connexes et les répercussions sur les collectivités côtières des Premières Nations de la Colombie-Britannique.  Ce projet aura un impact sur plus d'une communauté. La contribution totale (562,179 de dollars) sera répartie entre 9 communautés;  Gitga'at First Nation (#675), Gitxaala Nation (#672), Haisla Nation (#676), Lax Kw'alaams (#674), Metlakatla First Nation (#673), Nisga'a Village of Gingolx (#671), Nisga'a Village of Laxgalt'sap (#678), Old Massett Village Council (#669), Skidegate (#670)",Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Skidegate Indian Band,Bande indienne de Skidegate,*Refer to project description,Not available,"*Vous trouverez les détails sur les contributions dans la description du projet,",Sans objet,2016-2017,2016-2017,British Columbia,Colombie-Britannique,Gitxaala Nation (#672),Gitxaala Nation (#672),Adaptation,53.79638212,-130.4330759,"<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/eng/1481305681144/1481305709311"">Program website</a>","<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/fra/1481305681144/1481305709311"">Site web du programme</a>",
Crown-Indigenous Relations and Northern Affairs Canada ,Relations Couronne-Autochtones et Affaires du Nord Canada,First Nation Adapt,Programme d'adaptation aux changements climatiques des Premières Nations,Adaptation - Infrastructure,Adaptation - infrastructure,British Columbia Coastal Vulnerability Study (CVS) - BC North Coast and Haida Gwaii,Étude de vulnérabilité sur la côte de la Colombie-Britannique (côte nord de la Colombie-Britannique) (9 communautés participantes),"A multi-year project to develop models that will help predict estimated sea level rise from climate change, accompanying storm surge, and its impacts on coastal First Nation communities in British Columbia.  *This project will impact more than one community. The total contribution funds of $562,179 received by the recipient will be allocated across  9 communities;  Gitga'at First Nation (#675), Gitxaala Nation (#672), Haisla Nation (#676), Lax Kw'alaams (#674), Metlakatla First Nation (#673), Nisga'a Village of Gingolx (#671), Nisga'a Village of Laxgalt'sap (#678), Old Massett Village Council (#669), Skidegate (#670)","Un projet pluriannuel pour élaborer des modèles qui aideront à prévoir l’élévation estimative du niveau de la mer découlant des changements climatiques, les ondes de tempêtes connexes et les répercussions sur les collectivités côtières des Premières Nations de la Colombie-Britannique.  Ce projet aura un impact sur plus d'une communauté. La contribution totale (562,179 de dollars) sera répartie entre 9 communautés;  Gitga'at First Nation (#675), Gitxaala Nation (#672), Haisla Nation (#676), Lax Kw'alaams (#674), Metlakatla First Nation (#673), Nisga'a Village of Gingolx (#671), Nisga'a Village of Laxgalt'sap (#678), Old Massett Village Council (#669), Skidegate (#670)",Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Skidegate Indian Band,Bande indienne de Skidegate,*Refer to project description,Not available,"*Vous trouverez les détails sur les contributions dans la description du projet,",Sans objet,2016-2017,2016-2017,British Columbia,Colombie-Britannique,Metlakatla First Nation (#673),Metlakatla First Nation (#673),Adaptation,54.33694956,-130.4442291,"<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/eng/1481305681144/1481305709311"">Program website</a>","<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/fra/1481305681144/1481305709311"">Site web du programme</a>",
Crown-Indigenous Relations and Northern Affairs Canada ,Relations Couronne-Autochtones et Affaires du Nord Canada,First Nation Adapt,Programme d'adaptation aux changements climatiques des Premières Nations,Adaptation - Infrastructure,Adaptation - infrastructure,British Columbia Coastal Vulnerability Study (CVS) - BC North Coast and Haida Gwaii,Étude de vulnérabilité sur la côte de la Colombie-Britannique (côte nord de la Colombie-Britannique) (9 communautés participantes),"A multi-year project to develop models that will help predict estimated sea level rise from climate change, accompanying storm surge, and its impacts on coastal First Nation communities in British Columbia.  *This project will impact more than one community. The total contribution funds of $562,179 received by the recipient will be allocated across  9 communities;  Gitga'at First Nation (#675), Gitxaala Nation (#672), Haisla Nation (#676), Lax Kw'alaams (#674), Metlakatla First Nation (#673), Nisga'a Village of Gingolx (#671), Nisga'a Village of Laxgalt'sap (#678), Old Massett Village Council (#669), Skidegate (#670)","Un projet pluriannuel pour élaborer des modèles qui aideront à prévoir l’élévation estimative du niveau de la mer découlant des changements climatiques, les ondes de tempêtes connexes et les répercussions sur les collectivités côtières des Premières Nations de la Colombie-Britannique.  Ce projet aura un impact sur plus d'une communauté. La contribution totale (562,179 de dollars) sera répartie entre 9 communautés;  Gitga'at First Nation (#675), Gitxaala Nation (#672), Haisla Nation (#676), Lax Kw'alaams (#674), Metlakatla First Nation (#673), Nisga'a Village of Gingolx (#671), Nisga'a Village of Laxgalt'sap (#678), Old Massett Village Council (#669), Skidegate (#670)",Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Skidegate Indian Band,Bande indienne de Skidegate,*Refer to project description,Not available,"*Vous trouverez les détails sur les contributions dans la description du projet,",Sans objet,2016-2017,2016-2017,British Columbia,Colombie-Britannique,Lax Kw'alaams (#674),Lax Kw'alaams (#674),Adaptation,54.55856817,-130.4331405,"<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/eng/1481305681144/1481305709311"">Program website</a>","<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/fra/1481305681144/1481305709311"">Site web du programme</a>",
Crown-Indigenous Relations and Northern Affairs Canada ,Relations Couronne-Autochtones et Affaires du Nord Canada,First Nation Adapt,Programme d'adaptation aux changements climatiques des Premières Nations,Adaptation - Infrastructure,Adaptation - infrastructure,British Columbia Coastal Vulnerability Study (CVS) - BC North Coast and Haida Gwaii,Étude de vulnérabilité sur la côte de la Colombie-Britannique (côte nord de la Colombie-Britannique) (9 communautés participantes),"A multi-year project to develop models that will help predict estimated sea level rise from climate change, accompanying storm surge, and its impacts on coastal First Nation communities in British Columbia.  *This project will impact more than one community. The total contribution funds of $562,179 received by the recipient will be allocated across  9 communities;  Gitga'at First Nation (#675), Gitxaala Nation (#672), Haisla Nation (#676), Lax Kw'alaams (#674), Metlakatla First Nation (#673), Nisga'a Village of Gingolx (#671), Nisga'a Village of Laxgalt'sap (#678), Old Massett Village Council (#669), Skidegate (#670)","Un projet pluriannuel pour élaborer des modèles qui aideront à prévoir l’élévation estimative du niveau de la mer découlant des changements climatiques, les ondes de tempêtes connexes et les répercussions sur les collectivités côtières des Premières Nations de la Colombie-Britannique.  Ce projet aura un impact sur plus d'une communauté. La contribution totale (562,179 de dollars) sera répartie entre 9 communautés;  Gitga'at First Nation (#675), Gitxaala Nation (#672), Haisla Nation (#676), Lax Kw'alaams (#674), Metlakatla First Nation (#673), Nisga'a Village of Gingolx (#671), Nisga'a Village of Laxgalt'sap (#678), Old Massett Village Council (#669), Skidegate (#670)",Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Skidegate Indian Band,Bande indienne de Skidegate,*Refer to project description,Not available,"*Vous trouverez les détails sur les contributions dans la description du projet,",Sans objet,2016-2017,2016-2017,British Columbia,Colombie-Britannique,Nisga'a Village of Laxgalt'sap (#678),Nisga'a Village of Laxgalt'sap (#678),Adaptation,55.03387653,-129.5794391,"<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/eng/1481305681144/1481305709311"">Program website</a>","<a target=""_blank"" href=""https://www.aadnc-aandc.gc.ca/fra/1481305681144/1481305709311"">Site web du programme</a>",
