Geographic code / Code géographique ,"Geographic level, English / Niveau géographique, anglais","Geographic level, French / Niveau géographique, français","Geography name, type, province or territory abbreviation, English / Nom de la géographie, type, province ou territoire abréviation, anglais","Geography name, type, province or territory abbreviation, French / Nom de la géographie, type, province ou territoire abréviation, français","Geography name, English / Nom de la géographie, anglais","Geography name, French / Nom de la géographie, français","Type, English / Type, anglais","Type, French / Type, français","Geography level, English / Niveau géographique, anglais","Geography level, French / Niveau géographique, français",Long-form data quality flag / Indicateur relatif à la qualité des données,"Global non-response rate (GNR), long-form census questionnaire / Taux global de non-réponse (TGN), questionnaire détaillé ","Occupied private dwellings, 2016 / Logements privés occupés, 2016","Rate of core housing need, 2006 (1)/ Taux des besoins impérieux en matière de logement, 2006(1)","Rate of core housing need, 2011(1) / Taux des besoins impérieux en matière de logement, 2011(1)","Rate of core housing need, 2016(1) / Taux des besoins impérieux en matière de logement, 2016(1)","Number of households in core housing need, 2016 / Nombre de logements qui avait des besoins impérieux en matière de logement, 2016","Core housing need, Unsuitable only, 2016 / Besoins impérieux en matière de logement, de taille non convenable seulement, 2016","Core housing need, Inadequate only, 2016 / Besoins impérieux en matière de logement, inadéquat seulement, 2016","Core housing need, Unaffordable only, 2016 / Besoins impérieux en matière de logement, inabordable seulement, 2016","Core housing need, two or more dimensions, 2016 / Besoins impérieux en matière de logement, 2016","Rate of unaffordable housing, 2006(4) / Taux de logements non abordables, 2006(4)","Rate of unaffordable housing, 2011(4) / Taux de logements non abordables, 2011(4)","Rate of unaffordable housing, 2016(4) / Taux de logements non abordables, 2016(4)","Unaffordable housing not in core need, 2016 / Logement inabordable n'étant pas dans les besoins impérieux, 2016","Unaffordable housing in core need, 2016 / Logement inabordable, dans les besoins impérieux, 2016","Unaffordable housing not applicable for core need, 2016 / Logement inabordable, pas applicable aux besoins impérieux, 2016","Rate of unaffordable housing, owner-households, 2016(4) / Taux de logements inabordables, ménages en propriétés, 2016(4)","Rate of unaffordable housing, renter-households, 2016(4) / Taux de logements inabordables, ménages en locations, 2016(4)","Rate of inadequate housing, 2006(3) / Taux de logements inadéquats, 2006(3)","Rate of inadequate housing, 2011(3) / Taux de logements inadéquats, 2011(3)","Rate of inadequate housing, 2016(3) / Taux de logements inadéquatsm, 2016(3)","Inadequate housing not in core need, 2016 / Logement inadéquat, pas dans les besoins impérieux, 2016","Inadequate housing in core need, 2016 / Logement inadéquat, dans les besoins impérieux, 2016","Inadequate housing not applicable for core need, 2016 / Logement inadéquat, pas applicable aux besoins impérieux, 2016","Rate of unsuitable housing, 2006(2) / Taux de logements de taille non convenable, 2006(2)","Rate of unsuitable housing, 2011(2) / Taux de logements de taille non convenable, 2011(2)","Rate of unsuitable housing, 2016(2) / Taux de logements de taille non convenable, 2016(2)","Unsuitable housing not in core need, 2016 / Logement de taille non convenable, pas dans les besoins impérieux, 2016","Unsuitable housing in core need, 2016 / Logement de taille non convenable, dans les besoins impérieux, 2016","Unsuitable housing not applicable for core need, 2016 / Logement de taille non convenable, pas applicable aux besoins impérieux, 2016"
59,PR,PR,British Columbia,Colombie-Britannique,British Columbia,Colombie-Britannique,PR,PR,Province / Territory,Province / Territoire,20001,6.1,1881970,14.6,15.4,14.9,260225,11840,10240,199995,38145,28.3,30.3,28,183885,236820,91505,20.7,43.3,7.4,7.2,6.3,73210,32195,13455,7.3,6.8,5.3,60195,31215,8655
60,PR,PR,Yukon,Yukon,Yukon,Yukon,PR,PR,Province / Territory,Province / Territoire,101,6.8,15215,16.3,14.7,15.2,2160,120,420,1315,305,17.4,19.8,18.4,765,1580,335,12.7,29.4,14.9,16.2,12.5,920,650,330,6.7,7.3,4.8,430,240,50
61,PR,PR,Northwest Territories,Territoires du Nord-Ouest,Northwest Territories,Territoires du Nord-Ouest,PR,PR,Province / Territory,Province / Territoire,101,8.8,14980,17.5,15.7,15.5,2260,315,625,805,515,14,14.2,12.4,450,1150,240,9,16.3,17.6,17.2,18.1,1550,1045,110,12.4,10.8,10.5,930,605,30
62,PR,PR,Nunavut,Nunavut,Nunavut,Nunavut,PR,PR,Province / Territory,Province / Territoire,101,8.7,9820,37.2,39.3,36.5,3545,1455,835,285,970,9.4,6.3,5.8,50,415,105,8.2,5.2,20.2,27.7,26.1,765,1765,30,30.9,30.5,30.9,670,2355,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Only private, non-farm, non-reserve and owner- or renter-households with incomes greater than zero and shelter-cost-to-income ratios less than 100% are assessed for 'core housing need.' Non-family households with at least one maintainer aged 15 to 29 attending school are considered not to be in 'Core housing need' regardless of their housing circumstances. Attending school is considered a transitional phase, and low incomes earned by student households are viewed as being a temporary condition.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Reported for private households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Reported for private dwellings occupied by usual residents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Reported for owner and renter households with household total income greater than zero non-farm private dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Null (empty) cells represent data that are not applicable or not available for a specific reference period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-form data quality flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digit Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First (0XXXX): Incomplete enumeration flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second (X0XXX): Short-form data quality flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third (XX0XX): Short-form income data quality flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fourth (XXX0X): Long-form data quality flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fifth (XXXX0): Long-form income data quality flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flag description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete enumeration flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 = Default. Not applicable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 = Incompletely enumerated Indian reserve or Indian settlement (suppressed).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 = Excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short-form data quality flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 = Default. Data quality index showing a short-form global non-response rate lower than 10%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 = Data quality index showing a short-form global non-response rate higher than or equal to 10%, but lower than 20%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 = Data quality index showing a short-form global non-response rate higher than or equal to 20%, but lower than 30%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 = Data quality index showing a short-form global non-response rate higher than or equal to 30%, but lower than 40%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 = Data quality index showing a short-form global non-response rate higher than or equal to 40%, but lower than 50%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 = Data quality index showing a short-form global non-response rate higher than or equal to 50% (suppressed).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 = Short-form data suppressed to meet the confidentiality requirements of the Statistics Act.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short-form income data quality flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 = Default. Data quality index showing a short-form income non-response rate lower than 10%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 = Data quality index showing a short-form income non-response rate higher than or equal to 10%, but lower than 20%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 = Data quality index showing a short-form income non-response rate higher than or equal to 20%, but lower than 30%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 = Data quality index showing a short-form income non-response rate higher than or equal to 30%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 = Short-form income data suppressed to meet the confidentiality requirements of the Statistics Act.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-form data quality flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 = Default. Data quality index showing a long-form global non-response rate lower than 10%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 = Data quality index showing a long-form global non-response rate higher than or equal to 10%, but lower than 20%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 = Data quality index showing a long-form global non-response rate higher than or equal to 20%, but lower than 30%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 = Data quality index showing a long-form global non-response rate higher than or equal to 30%, but lower than 40%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 = Data quality index showing a long-form global non-response rate higher than or equal to 40%, but lower than 50%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 = Data quality index showing a long-form global non-response rate higher than or equal to 50% (suppressed).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 = Long-form data suppressed to meet the confidentiality requirements of the Statistics Act.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-form income data quality flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 = Default. Data quality index showing a long-form income non-response rate lower than 10%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 = Data quality index showing a long-form income non-response rate higher than or equal to 10%, but lower than 20%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 = Data quality index showing a long-form income non-response rate higher than or equal to 20%, but lower than 30%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 = Data quality index showing a long-form income non-response rate higher than or equal to 30%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 = Long-form income data suppressed to meet the confidentiality requirements of the Statistics Act.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Statistics Canada, 2016 Census of Population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How to cite: Statistics Canada. 2017. Core housing need. 2016 Census.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistics Canada Catalogue no. 98-509-X2016001. Ottawa. Released November 15 2017.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www12.statcan.gc.ca/census-recensement/2016/dp-pd/chn-biml/index-eng.cfm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Seuls les ménages privés non agricoles hors réserve et propriétaires ou locataires qui ont un revenu positif et dont le rapport des frais de logement au revenu est inférieur à 100 % sont pris en considération dans l'évaluation des «  besoins impérieux en matière de logement ». Les ménages non familiaux dont au moins un des soutiens est âgé de 15 à 29 ans et est aux études ne sont pas considérés comme ayant des « besoins impérieux en matière de logement » peu importe leur situation de logement. Les études sont considérées comme une étape de transition et on estime que les faibles revenus gagnés par les ménages composés d'étudiants sont une situation temporaire.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Population d'intérêt : ménages privés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Population d'intérêt : logements privés occupés par des résidents habituels ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4. Population d'intérêt : ménages propriétaires et locataires ayant un revenu total du ménage supérieur à zéro, dans des logements privés non agricoles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les cellules nulles (vides) représentent des données n’ayant pas lieu de figurer ou indisponibles pour une période de référence précise.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicateur relatif à la qualité des données,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description des caractères numériques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier (0XXXX) : Indicateur de dénombrement partiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deuxième (X0XXX) : Indicateur relatif à la qualité des données pour le questionnaire abrégé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troisième (XX0XX) : Indicateur relatif à la qualité des données sur le revenu pour le questionnaire abrégé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quatrième (XXX0X) : Indicateur relatif à la qualité des données pour le questionnaire détaillé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinquième (XXXX0) : Indicateur relatif à la qualité des données sur le revenu pour le questionnaire détaillé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description des indicateurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicateur de dénombrement partiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 = Valeur implicite. Sans objet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 = Réserve indienne ou établissement indien partiellement dénombré (supprimé).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 = Ne comprend pas les données du recensement pour une ou plusieurs réserves indiennes ou établissements indiens partiellement dénombrés.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicateur relatif à la qualité des données pour le questionnaire abrégé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0 = Valeur implicite. Indice de la qualité des données indiquant, pour le questionnaire abrégé, un taux global de non-réponse inférieur à 10 %.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 = Indice de la qualité des données indiquant, pour le questionnaire abrégé, un taux global de non-réponse supérieur ou égal à 10 %, mais inférieur à 20 %.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 = Indice de la qualité des données indiquant, pour le questionnaire abrégé, un taux global de non-réponse supérieur ou égal à 20 %, mais inférieur à 30 %.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 = Indice de la qualité des données indiquant, pour le questionnaire abrégé, un taux global de non-réponse supérieur ou égal à 30 %, mais inférieur à 40 %.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 = Indice de la qualité des données indiquant, pour le questionnaire abrégé, un taux global de non-réponse supérieur ou égal à 40 %, mais inférieur à 50 %.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5 = Indice de la qualité des données indiquant, pour le questionnaire abrégé, un taux global de non-réponse supérieur ou égal à 50 % (supprimé).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 = Confidentiel en vertu des dispositions de la Loi sur la statistique pour les données relatives au questionnaire abrégé.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicateur relatif à la qualité des données sur le revenu pour le questionnaire abrégé.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0 = Valeur implicite. Indice de la qualité des données sur le revenu  indiquant, pour le questionnaire abrégé, un taux de non-réponse inférieur à 10 %.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 = Indice de la qualité des données sur le revenu  indiquant, pour le questionnaire abrégé, un taux de non-réponse supérieur ou égal à 10 %, mais inférieur à 20 %.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 = Indice de la qualité des données sur le revenu  indiquant, pour le questionnaire abrégé, un taux de non-réponse supérieur ou égal à 20 %, mais inférieur à 30 %.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 = Indice de la qualité des données sur le revenu indiquant, pour le questionnaire abrégé, un taux de non-réponse supérieur ou égal à 30 %.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 = Confidentiel en vertu des dispositions de la Loi sur la statistique pour les données relatives au revenu du questionnaire abrégé.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicateur relatif à la qualité des données pour le questionnaire détaillé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0 = Valeur implicite. Indice de la qualité des données indiquant, pour le questionnaire détaillé, un taux global de non-réponse inférieur à 10 %.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 = Indice de la qualité des données indiquant, pour le questionnaire détaillé, un taux global de non-réponse supérieur ou égal à 10 %, mais inférieur à 20 %.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 = Indice de la qualité des données indiquant, pour le questionnaire détaillé, un taux global de non-réponse supérieur ou égal à 20 %, mais inférieur à 30 %.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 = Indice de la qualité des données indiquant, pour le questionnaire détaillé, un taux global de non-réponse supérieur ou égal à 30 %, mais inférieur à 40 %.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 = Indice de la qualité des données indiquant, pour le questionnaire détaillé, un taux global de non-réponse supérieur ou égal à 40 %, mais inférieur à 50 %.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5 = Indice de la qualité des données indiquant, pour le questionnaire détaillé, un taux global de non-réponse supérieur ou égal à 50 % (supprimé).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 = Confidentiel en vertu des dispositions de la Loi sur la statistique pour les données relatives au questionnaire détaillé.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicateur relatif à la qualité des données sur le revenu pour le questionnaire détaillé ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0 = Valeur implicite. Indice de la qualité des données sur le revenu  indiquant, pour le questionnaire détaillé, un taux de non-réponse inférieur à 10 %.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 = Indice de la qualité des données sur le revenu  indiquant, pour le questionnaire détaillé, un taux de non-réponse supérieur ou égal à 10 %, mais inférieur à 20 %.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 = Indice de la qualité des données sur le revenu  indiquant, pour le questionnaire détaillé, un taux de non-réponse supérieur ou égal à 20 %, mais inférieur à 30 %.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 = Indice de la qualité des données sur le revenu indiquant, pour le questionnaire détaillé, un taux de non-réponse supérieur ou égal à 30 %.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
